dr7objid,ra,dec,z,petroR50_r,deVAB_r,seeing_r,run,camcol,rerun,field,Zoo1,image
587739131890303010,234.5177,26.26122,0.0344926,4.707673,0.9695458,1.022291,4512,3,40,235,E,fpC-004512-r3-0235.fit.gz
587736585499771048,210.3177,39.71564,0.0791091,3.616339,0.9693022,1.032966,3919,4,40,55,E,fpC-003919-r4-0055.fit.gz
587738411943067776,166.6172,15.36828,0.0881435,4.502452,0.9691268,1.426862,4344,6,40,184,E,fpC-004344-r6-0184.fit.gz
587731185125818492,350.1211,-1.002417,0.0312728,5.238196,0.9690908,1.05052,2662,1,40,216,E,fpC-002662-r1-0216.fit.gz
588017977832505476,221.8802,33.10175,0.0875241,6.135684,0.9689788,0.9692987,3900,2,41,576,E,fpC-003900-r2-0576.fit.gz
587736940373410047,220.4272,33.30283,0.0574615,4.419803,0.968772,1.141411,4002,1,40,85,E,fpC-004002-r1-0085.fit.gz
587736543099683022,232.9259,7.287389,0.0342011,4.293392,0.9684219,1.0146,3909,5,40,249,E,fpC-003909-r5-0249.fit.gz
588007005807837240,253.62,39.37197,0.0352605,3.461901,0.9683207,1.058215,1345,5,41,670,E,fpC-001345-r5-0670.fit.gz
587739380990411044,225.0419,28.01544,0.0467663,5.063489,0.968208,1.099158,4570,3,40,113,E,fpC-004570-r3-0113.fit.gz
587741490889687530,123.1165,15.70208,0.0876464,3.732724,0.9681076,1.077381,5061,5,40,61,E,fpC-005061-r5-0061.fit.gz
587729160049000586,214.9642,5.061111,0.087485,5.646064,0.9679059,1.792021,2190,5,40,220,E,fpC-002190-r5-0220.fit.gz
588017724938977304,188.6647,7.118111,0.0839514,3.452063,0.9678658,1.009784,3841,3,41,159,E,fpC-003841-r3-0159.fit.gz
588010359615258696,162.0496,4.998583,0.0343433,6.461204,0.9676791,1.181855,2126,4,41,286,E,fpC-002126-r4-0286.fit.gz
587741830731137142,165.4195,24.85892,0.0675203,5.525798,0.9672731,1.276414,5140,6,40,94,E,fpC-005140-r6-0094.fit.gz
587739706332938345,207.4811,27.14758,0.0628525,5.733921,0.9668438,1.306497,4646,1,40,94,E,fpC-004646-r1-0094.fit.gz
588017978914243028,240.8366,25.30925,0.0878956,4.024847,0.9668075,0.9402086,3900,4,41,698,E,fpC-003900-r4-0698.fit.gz
587733603718922320,214.6883,55.87422,0.078154,4.530324,0.9667184,1.352774,3225,2,40,58,E,fpC-003225-r2-0058.fit.gz
587739380457209910,233.4166,24.40469,0.0434307,6.522106,0.9664101,1.356999,4570,2,40,169,E,fpC-004570-r2-0169.fit.gz
588017979953643559,147.4671,34.71411,0.0387985,8.169257,0.9663342,1.339587,3900,6,41,174,E,fpC-003900-r6-0174.fit.gz
587726031722315945,204.3322,1.681722,0.0771873,4.139095,0.9662395,1.130373,1462,2,40,527,E,fpC-001462-r2-0527.fit.gz
587739721370370254,209.9026,28.09208,0.0737901,5.106642,0.9662064,1.620461,4649,5,40,171,E,fpC-004649-r5-0171.fit.gz
587739381530886377,233.615,25.15483,0.035176,4.673241,0.9656888,1.313284,4570,4,40,168,E,fpC-004570-r4-0168.fit.gz
587739827662290999,208.8058,25.05181,0.0311195,6.631146,0.9654934,1.66705,4674,3,40,41,E,fpC-004674-r3-0041.fit.gz
587733410986393778,224.64,47.49761,0.085487,6.416906,0.9653745,1.273799,3180,3,40,121,E,fpC-003180-r3-0121.fit.gz
587742576460890259,229.1061,14.42397,0.0559848,3.625748,0.9652154,1.122674,5314,3,40,339,E,fpC-005314-r3-0339.fit.gz
587733603717021863,207.3724,57.482,0.0704933,4.685957,0.964735,1.24057,3225,2,40,29,E,fpC-003225-r2-0029.fit.gz
588848899908632698,170.7286,-0.2021944,0.0898748,4.049089,0.9647321,1.174056,756,3,44,367,E,fpC-000756-r3-0367.fit.gz
588011101035626607,243.7694,43.59553,0.0650983,4.918787,0.9647009,1.53453,2299,1,41,311,E,fpC-002299-r1-0311.fit.gz
587735744223969490,234.7891,36.0905,0.0654052,5.033786,0.9645653,1.188464,3723,5,40,69,E,fpC-003723-r5-0069.fit.gz
587742629059297417,216.8862,15.52497,0.0536416,4.854906,0.964086,1.472425,5326,5,40,111,E,fpC-005326-r5-0111.fit.gz
587738568175845526,206.5853,13.08381,0.0812233,3.90631,0.9640183,1.125063,4381,1,40,235,E,fpC-004381-r1-0235.fit.gz
587728879792947520,130.1434,2.611333,0.0496372,6.512706,0.9633285,1.60916,2125,3,40,76,E,fpC-002125-r3-0076.fit.gz
587725471207063715,130.8217,52.75795,0.0587711,5.082862,0.9632598,1.601237,1331,6,40,191,E,fpC-001331-r6-0191.fit.gz
587741490359107704,137.0556,21.1678,0.0802546,3.473147,0.9631603,0.9762511,5061,4,40,157,E,fpC-005061-r4-0157.fit.gz
587739158722969818,137.1395,28.12989,0.0472483,4.317327,0.9628609,1.28657,4518,5,40,69,E,fpC-004518-r5-0069.fit.gz
587742863132459162,164.809,15.50228,0.0889578,4.208131,0.9628073,1.073122,5381,1,40,72,E,fpC-005381-r1-0072.fit.gz
587736975809052959,230.8918,27.75303,0.0682233,3.359823,0.9627162,1.072692,4010,3,40,118,E,fpC-004010-r3-0118.fit.gz
587722982828081350,212.5145,-0.3558611,0.0829837,4.648856,0.9626475,1.440209,752,3,40,461,E,fpC-000752-r3-0461.fit.gz
587736619865407501,248.2567,22.79739,0.0363555,8.92122,0.9625722,1.153283,3927,4,40,145,E,fpC-003927-r4-0145.fit.gz
587732578311340137,163.6089,7.142722,0.0523751,5.884805,0.9618133,1.523654,2986,4,40,300,E,fpC-002986-r4-0300.fit.gz
587739720305082445,230.039,21.90478,0.0383694,6.062806,0.9618132,1.224687,4649,3,40,300,E,fpC-004649-r3-0300.fit.gz
587742864745365654,170.0785,17.17822,0.0539236,4.767538,0.9616985,1.201112,5381,4,40,107,E,fpC-005381-r4-0107.fit.gz
587732049480384567,136.7938,46.21114,0.040355,5.21246,0.9616527,1.451045,2863,3,40,100,E,fpC-002863-r3-0100.fit.gz
588017977832767707,222.51,32.83336,0.0852191,3.242079,0.9615803,1.00092,3900,2,41,580,E,fpC-003900-r2-0580.fit.gz
587729158986137787,239.7897,2.799583,0.0477245,5.453783,0.9615523,1.303396,2190,3,40,386,E,fpC-002190-r3-0386.fit.gz
587734690352070863,139.8526,6.467195,0.0609873,3.960912,0.9612668,1.029725,3478,2,40,156,E,fpC-003478-r2-0156.fit.gz
588298664118452274,210.8629,45.23533,0.0408397,3.74514,0.9612272,1.031681,3716,5,42,158,E,fpC-003716-r5-0158.fit.gz
