dr7objid,ra,dec,z,petroR50_r,deVAB_r,seeing_r,run,camcol,rerun,field,Zoo1,image
588017724938387734,187.4163,7.263195,0.0835174,3.548631,0.9998546,0.9766834,3841,3,41,150,S,fpC-003841-r3-0150.fit.gz
587736542549442793,202.1442,9.616972,0.0821901,5.175097,0.9998431,1.042461,3909,4,40,45,S,fpC-003909-r4-0045.fit.gz
587738570310352982,175.9421,15.58561,0.0620535,3.831793,0.9998343,0.9156253,4381,5,40,37,S,fpC-004381-r5-0037.fit.gz
587725550657143008,118.7495,42.76958,0.0676962,4.608555,0.9998272,1.388641,1350,2,40,87,S,fpC-001350-r2-0087.fit.gz
587738568171257883,195.7919,13.87764,0.0358235,4.094385,0.9998245,1.142079,4381,1,40,165,S,fpC-004381-r1-0165.fit.gz
587738196648067396,112.8834,45.42583,0.0705895,4.762891,0.9998243,1.13946,4294,5,40,35,S,fpC-004294-r5-0035.fit.gz
588009368011014527,140.9835,55.09856,0.0484952,4.588255,0.999824,1.250761,1895,5,41,230,S,fpC-001895-r5-0230.fit.gz
587742566785417351,156.3956,16.74147,0.0343988,3.855629,0.9998167,1.156008,5312,1,40,159,S,fpC-005312-r1-0159.fit.gz
587732771853041822,164.5223,9.501917,0.0339803,9.411923,0.9998165,1.212909,3031,4,40,296,S,fpC-003031-r4-0296.fit.gz
588848900968284238,138.5471,0.8181944,0.055088,5.215022,0.9998114,1.319808,756,5,44,152,S,fpC-000756-r5-0152.fit.gz
587732482751791262,192.2153,49.30206,0.0311534,9.621574,0.9998031,1.226706,2964,2,40,353,S,fpC-002964-r2-0353.fit.gz
587731522816180397,132.0287,41.85922,0.0300517,10.21552,0.9997953,1.433878,2740,6,40,194,S,fpC-002740-r6-0194.fit.gz
587738569246769330,199.9688,14.39031,0.0701115,4.200492,0.9997882,1.221011,4381,3,40,192,S,fpC-004381-r3-0192.fit.gz
587741828585095269,169.1464,23.65739,0.0959779,4.715458,0.9997757,1.011837,5140,2,40,116,S,fpC-005140-r2-0116.fit.gz
587741602564014184,172.1608,27.39703,0.0319618,13.05917,0.9997718,1.164262,5087,5,40,140,S,fpC-005087-r5-0140.fit.gz
