photoobjId,ra,dec,petroR50_r,deVAB_r,seeing_r,run,rerun,camcol,field,Zoo1,image
587739815314718728,235.79319191,22.25174141,2.468487,0.7229418,1.25405,4671,40,4,48,U,fpC-004671-r4-0048.fit.gz
587739408409952426,230.29463284,27.15885481,1.802584,0.8820264,1.357426,4576,40,6,710,U,fpC-004576-r6-0710.fit.gz
587739844310204573,218.76442567,20.61498731,2.603765,0.875703,1.414713,4678,40,2,116,U,fpC-004678-r2-0116.fit.gz
587739457227063408,225.24450601,24.87617074,2.951368,0.228765,1.67921,4588,40,1,128,U,fpC-004588-r1-0128.fit.gz
587739457227063425,225.26187224,24.87125431,1.40054,0.7845424,1.67921,4588,40,1,128,U,fpC-004588-r1-0128.fit.gz
587739457762689088,222.45445169,26.21783805,1.434314,0.7631451,1.549057,4588,40,2,109,U,fpC-004588-r2-0109.fit.gz
587741392111599834,149.14848475,27.83612666,3.064431,0.9794403,1.128242,5038,40,5,155,U,fpC-005038-r5-0155.fit.gz
587741828581163186,159.51990067,22.39332358,1.794997,0.9530033,1.098211,5140,40,2,56,U,fpC-005140-r2-0056.fit.gz
587741600963297361,197.58936196,26.28224698,2.176114,0.5596086,1.146776,5087,40,2,291,U,fpC-005087-r2-0291.fit.gz
587741600963297385,197.59949586,26.26674471,1.576683,0.8156402,1.146776,5087,40,2,291,U,fpC-005087-r2-0291.fit.gz
587741709944750366,145.34687312,22.58246523,1.523322,0.6684264,1.167868,5112,40,5,240,U,fpC-005112-r5-0240.fit.gz
587741709944750392,145.35463651,22.6041863,1.301725,0.6142534,1.167868,5112,40,5,240,U,fpC-005112-r5-0240.fit.gz
587741830192562375,161.31872013,23.86178175,2.695271,0.8026744,1.139546,5140,40,5,68,U,fpC-005140-r5-0068.fit.gz
587741489815159182,121.70491582,14.2021256,2.804287,0.3763773,1.024727,5061,40,3,49,U,fpC-005061-r3-0049.fit.gz
587741601495253171,185.12234094,27.18834351,3.328372,0.6573879,1.413686,5087,40,3,216,U,fpC-005087-r3-0216.fit.gz
587741601495253177,185.13111463,27.1781289,2.750495,0.6149933,1.413686,5087,40,3,216,U,fpC-005087-r3-0216.fit.gz
587741601495646344,186.12467426,27.23023955,3.33179,0.8500026,1.280806,5087,40,3,222,U,fpC-005087-r3-0222.fit.gz
587741602027143306,172.22897463,27.05401893,2.039924,0.8655426,1.215183,5087,40,4,140,U,fpC-005087-r4-0140.fit.gz
587741602027143326,172.23855252,27.0287659,3.120358,0.7414644,1.215183,5087,40,4,140,U,fpC-005087-r4-0140.fit.gz
587741602029240444,177.61138362,27.34588443,1.921964,0.9667172,1.422061,5087,40,4,172,U,fpC-005087-r4-0172.fit.gz
587741602029240447,177.61503899,27.36706172,1.089032,0.4355276,1.422061,5087,40,4,172,U,fpC-005087-r4-0172.fit.gz
587741602029240453,177.6249151,27.35173476,3.861972,0.5669823,1.422061,5087,40,4,172,U,fpC-005087-r4-0172.fit.gz
587742191510225050,170.89857148,25.29184416,2.591845,0.6276665,1.364683,5224,40,6,122,U,fpC-005224-r6-0122.fit.gz
587741602567815282,181.97010292,27.92820898,2.197346,0.7167741,1.352357,5087,40,5,198,U,fpC-005087-r5-0198.fit.gz
587741602567815284,181.97069555,27.9453547,2.84286,0.3281489,1.352357,5087,40,5,198,U,fpC-005087-r5-0198.fit.gz
587741602567815285,181.97207706,27.94327974,2.819367,0.7964692,1.352357,5087,40,5,198,U,fpC-005087-r5-0198.fit.gz
587742191510290502,170.91197178,25.3069884,2.928975,0.8832025,1.322791,5224,40,6,123,U,fpC-005224-r6-0123.fit.gz
587741603099312342,168.20855126,27.50322465,2.35613,0.616488,1.17087,5087,40,6,116,U,fpC-005087-r6-0116.fit.gz
587741603099377770,168.23658809,27.4879252,3.078386,0.3635239,1.20174,5087,40,6,117,U,fpC-005087-r6-0117.fit.gz
587741720678826052,201.29179621,25.57407811,1.34855,0.7661486,1.216385,5115,40,1,189,U,fpC-005115-r1-0189.fit.gz
587741720678826123,201.29548019,25.57797651,1.827146,0.3063279,1.216385,5115,40,1,189,U,fpC-005115-r1-0189.fit.gz
587742191508389982,166.25651999,24.81300536,6.454549,0.4282777,1.774257,5224,40,6,94,U,fpC-005224-r6-0094.fit.gz
587742190987444389,206.29531767,23.98238054,2.02015,0.9296916,1.162426,5224,40,5,337,U,fpC-005224-r5-0337.fit.gz
587741721746669655,186.2644809,27.38863566,1.381444,0.9967545,1.23191,5115,40,3,99,U,fpC-005115-r3-0099.fit.gz
587741721746669669,186.29193273,27.40205221,2.212411,0.6110849,1.23191,5115,40,3,99,U,fpC-005115-r3-0099.fit.gz
587741721753616596,204.07464718,26.1536091,1.609069,0.5765013,1.268737,5115,40,3,205,U,fpC-005115-r3-0205.fit.gz
587741721753616599,204.08263288,26.17343096,1.279347,0.8651962,1.268737,5115,40,3,205,U,fpC-005115-r3-0205.fit.gz
587741721753616610,204.08841767,26.15688958,1.525334,0.9725512,1.268737,5115,40,3,205,U,fpC-005115-r3-0205.fit.gz
587741724969795764,189.33383777,23.95714156,1.599182,0.7479038,1.17227,5116,40,1,128,U,fpC-005116-r1-0128.fit.gz
587741708334530709,146.70359105,21.58880464,1.915814,0.5835693,1.175467,5112,40,2,246,U,fpC-005112-r2-0246.fit.gz
587741724976152684,204.97532072,22.67771619,1.707433,0.8684515,1.198106,5116,40,1,225,U,fpC-005116-r1-0225.fit.gz
587741724976152695,204.99247526,22.67653262,1.531176,0.698348,1.198106,5116,40,1,225,U,fpC-005116-r1-0225.fit.gz
587741726039343263,178.74390163,24.86726254,2.825446,0.6285782,1.238231,5116,40,3,64,U,fpC-005116-r3-0064.fit.gz
587741708345737413,174.24854772,26.51582233,1.735812,0.2245614,1.183959,5112,40,2,417,U,fpC-005112-r2-0417.fit.gz
587742189369753858,188.59070889,24.18025288,1.490123,0.3603637,1.18189,5224,40,2,229,U,fpC-005224-r2-0229.fit.gz
587742191508390003,166.27638901,24.79718628,3.772446,0.6183902,1.774257,5224,40,6,94,U,fpC-005224-r6-0094.fit.gz
587742189369753876,188.6139026,24.1772469,1.961604,0.8856681,1.18189,5224,40,2,229,U,fpC-005224-r2-0229.fit.gz
587742190987640997,206.74715597,23.88438786,1.342704,0.2892638,1.080619,5224,40,5,340,U,fpC-005224-r5-0340.fit.gz
587741489816863128,125.3903729,16.03989202,2.39079,0.8537556,0.9595529,5061,40,3,75,U,fpC-005061-r3-0075.fit.gz
587742189912653967,203.55750075,23.58940702,5.264822,0.7998905,1.181003,5224,40,3,321,U,fpC-005224-r3-0321.fit.gz
587741600961396756,192.76393776,26.44572398,3.444424,0.4454955,1.462166,5087,40,2,262,U,fpC-005087-r2-0262.fit.gz
587741816237654182,131.94789988,15.30669083,3.090809,0.2252715,1.224298,5137,40,3,125,U,fpC-005137-r3-0125.fit.gz
587741709944422524,144.44520722,22.43658968,2.449515,0.9067197,1.152943,5112,40,5,235,U,fpC-005112-r5-0235.fit.gz
587741709959036992,181.01550076,28.24669319,5.467208,0.5200833,1.356959,5112,40,5,458,U,fpC-005112-r5-0458.fit.gz
587741709959037142,181.00131434,28.24967194,3.639443,0.6028524,1.356959,5112,40,5,458,U,fpC-005112-r5-0458.fit.gz
587741709959037230,181.06784138,28.20226159,2.725378,0.7169782,1.356959,5112,40,5,458,U,fpC-005112-r5-0458.fit.gz
587741815700979967,132.45234789,15.1101949,1.359663,0.9015206,1.212469,5137,40,2,128,U,fpC-005137-r2-0128.fit.gz
587741815710285868,153.9478639,20.97559714,2.353595,0.9268403,1.017229,5137,40,2,270,U,fpC-005137-r2-0270.fit.gz
587741815710285869,153.94914654,20.96963651,2.050782,0.8287246,1.017229,5137,40,2,270,U,fpC-005137-r2-0270.fit.gz
587741709959037231,181.06448824,28.20437609,3.197077,0.3701385,1.356959,5112,40,5,458,U,fpC-005112-r5-0458.fit.gz
587741720675483740,192.74751208,26.43779604,1.66742,0.9612029,1.224027,5115,40,1,138,U,fpC-005115-r1-0138.fit.gz
587742189900464281,173.15206234,24.17996721,3.187522,0.8256235,1.222558,5224,40,3,135,U,fpC-005224-r3-0135.fit.gz
