Id,Ga,OGa,sGa,sOGa,Error
587722983908442326,0.00566750578582,1.97274279594,0.21428693831,1.98150515556,2
587742551227957505,0.00893117301166,1.97527468204,0.217552259564,1.94307398796,2
587735742617419887,0.00254346686415,1.96354162693,0.229499027133,1.9225512743,0
588017947736277140,0.053714517504,1.99638187885,0.526347756386,1.98412764072,2
588015509281898683,0.697916865349,1.99665331841,1.34997344017,1.93750929832,1
587741602035990673,0.37665322423,1.99656164646,1.36321759224,1.9549690485,0
587742015427444811,0.0316862687469,1.9953032732,0.428416132927,1.98991513252,2
587741489302667418,0.0314006842673,1.99555194378,0.507249951363,1.98929226398,0
588010358545055747,0.0699949190021,1.96009385586,0.189335644245,1.93317973614,2
588018253215301834,0.0799637883902,1.99324131012,0.498719662428,1.98232769966,2
587739405705150653,0.00368599942885,1.97147655487,0.226458474994,1.98097503185,0
587735742612373777,0.0342447608709,1.9958974123,0.451113045216,1.98846805096,0
587745540520345646,0.00413063587621,1.97131931782,0.176690757275,1.93126022816,2
587735663163605142,0.02120269835,1.98639452457,0.289852112532,1.99082565308,2
588017977832505698,0.033293582499,1.98269891739,0.236141845584,1.97155964375,2
587742901790179455,0.00290060439147,1.96000003815,0.220027819276,1.96947669983,0
587727943496695864,0.0102216126397,1.9840490818,0.290625780821,1.98982214928,2
587739381529051357,0.0340012535453,1.99548220634,0.419525742531,1.98645436764,2
587738569774596261,0.134960353374,1.99412798882,0.532121956348,1.98361051083,2
587731185673371767,0.00843525864184,1.98078238964,0.329957991838,1.99268448353,0
587742575917924495,0.00614831969142,1.97516560555,0.217419654131,1.97968661785,2
587729773145817262,0.230279967189,1.99930369854,1.15587937832,1.93808364868,0
588017977277677607,0.0195056386292,1.98418676853,0.264334231615,1.98515582085,2
588017725479321651,0.000671312853228,1.95546555519,0.129314005375,1.95686268806,0
588017703489241360,0.00385227706283,1.97155356407,0.185700833797,1.93423593044,2
587732577759199691,0.148860916495,1.99705374241,0.678200125694,1.97239339352,2
587738067267682515,0.198436886072,1.99759995937,0.766522228718,1.9645909071,2
587736584433762658,0.0059926789254,1.96610164642,0.205663993955,1.94917786121,2
587742062674116748,0.352909058332,1.99624979496,0.88651573658,1.95051133633,2
588017979450196262,0.0480749569833,1.99707174301,0.575787305832,1.98161196709,0
587741533326016558,0.00236084195785,1.96488761902,0.242223203182,1.98142290115,2
587731891649052897,0.0552128665149,1.99063754082,0.400728464127,1.98363232613,2
587739844846157859,0.00803364347667,1.96031749249,0.135657429695,1.94444441795,2
588023045865406507,0.0101400185376,1.96275067329,0.120711639524,1.94524490833,2
588298664114913405,0.00810498464853,1.95070421696,0.124981030822,1.92675161362,2
588011217522458757,0.00990776624531,1.98676168919,0.286944776773,1.99311923981,0
587726031167160447,0.00560690322891,1.98214280605,0.259533673525,1.99293971062,0
587736542563664101,0.134496256709,1.97695851326,0.318443030119,1.90888381004,2
587739407850799314,0.140241861343,1.98958337307,0.462917149067,1.9666955471,2
587742611347997022,0.0288003478199,1.99639809132,0.413415342569,1.98690509796,0
587733409909309526,0.0137694207951,1.97644543648,0.305462121964,1.97949635983,2
587739380455768301,0.00186068855692,1.96511626244,0.151036441326,1.94304633141,2
587732702326292539,0.0054593286477,1.96774196625,0.144287064672,1.95391702652,2
587741708328829127,0.0577181391418,1.96978020668,0.280065774918,1.95515692234,2
587726015088689421,0.0112911807373,1.98388469219,0.313217312098,1.98726499081,2
587739406228848653,0.011147396639,1.97893035412,0.248361602426,1.96303141117,2
588017702939132115,0.0443301051855,1.99847042561,0.595357894897,1.97873187065,0
587741531702951994,0.00201364816166,1.9501311779,0.204899087548,1.96372234821,0
587736543094374455,0.00482962746173,1.97916662693,0.196217685938,1.95810568333,2
587736543633211403,0.0448108389974,1.96696031094,0.227827712893,1.94243073463,2
587726016144670854,0.11886139214,1.99710726738,0.737531960011,1.97267270088,2
588010359615258698,0.196311801672,1.99758684635,1.23679769039,1.97063624859,0
587739810500510111,0.219801604748,1.99794888496,1.23186683655,1.95724022388,0
587742576455581896,0.00727261416614,1.98964965343,0.310763418674,1.99337744713,0
588017703489634333,0.00213561672717,1.96747970581,0.134356811643,1.94429707527,0
588018056722907351,0.125035718083,1.99350118637,0.548995733261,1.97352778912,2
587738950957858991,0.110907390714,1.99367558956,0.493314266205,1.97657954693,2
587741531711996075,0.0367028452456,1.99049127102,0.364629924297,1.98603272438,2
588017721714999495,0.0980300754309,1.99838101864,0.821263492107,1.96564042568,0
588017724403548221,0.00946441385895,1.98763167858,0.300519675016,1.99521791935,0
587726031171944615,0.0420181490481,1.99741888046,0.564825177193,1.98213911057,0
588017990703186271,0.0451688580215,1.9984369278,0.582508802414,1.97771131992,0
587739132417081407,0.00134879455436,1.96296298504,0.126994028687,1.93802821636,0
588017947755741264,0.206450015306,1.99536013603,1.33692836761,1.97414970398,0
587736976890200124,0.00165511516389,1.96314501762,0.143683031201,1.94621026516,0
587732483287089347,0.0140752783045,1.99184501171,0.319460570812,1.99535810947,0
587741392103145853,0.0722558051348,1.99747633934,0.697053909302,1.9725369215,0
587741816781209661,0.00172405573539,1.95272731781,0.164064824581,1.92198586464,0
588017948285337689,0.277125149965,1.9964812994,0.784874558449,1.95849692822,2
587734622699061348,0.00430356012657,1.98522722721,0.230867922306,1.99496459961,2
