Id,A3,S3,H,Ga,OGa,C1,C2,CN,sA3,sS3,sH,sGa,sOGa,Error
587739647819513943,0.887338519096,0.867152810097,0.283694028854,0.113790541887,1.99575650692,0.537621021271,0.304418981075,0.355064377833,0.225935608149,0.365943938494,0.614221990108,0.696738481522,1.97722780704,2
587734862142963879,0.978643298149,0.975467026234,0.00675153220072,0.13639613986,1.99916851521,0.61392146349,0.38267916441,0.399468382845,0.251223117113,0.278355240822,0.595259845257,0.921580195427,1.95122158527,0
587739810485633217,0.989888906479,0.993357241154,0.00413151271641,0.350262522697,1.99966096878,0.658069431782,0.368552535772,0.442978335605,0.407496988773,0.455612450838,0.663337945938,1.49173820019,1.92145192623,0
587736546313306561,0.98287153244,0.984879314899,0.0173708163202,0.452279120684,1.99939608574,0.547493040562,0.744099378586,0.338206929269,0.689013779163,0.527915775776,0.626051962376,1.41262638569,1.92268836498,2
587742773486026780,0.988726973534,0.991784632206,0.0537059232593,0.330907434225,1.99939978123,1.15369582176,0.930458664894,0.472755230978,0.402171254158,0.365020960569,0.694014549255,1.39903950691,1.94325709343,0
587739153889493768,0.993064045906,0.996235847473,0.00648541236296,0.764621317387,1.99963116646,1.20186471939,0.927904725075,0.449770059463,0.773697853088,0.827453017235,0.665699899197,1.65153181553,1.91339170933,0
587727221933801877,0.980626404285,0.975207686424,0.00343506992795,0.218345403671,1.99944353104,0.478067100048,0.263639390469,0.319819171971,0.467696249485,0.544246792793,0.708632230759,1.38604021072,1.93353283405,0
588017626688585921,0.928719222546,0.902312278748,0.260848879814,0.0701617971063,1.99598634243,0.699809014797,0.441169410944,0.458830531633,0.263622373343,0.466596782207,0.488359361887,0.502257585526,1.97943687439,2
587729233053286601,0.990202963352,0.984423160553,0.144148916006,0.493197381496,1.99967122078,0.570222079754,0.546132206917,0.350149338484,0.319645673037,0.306285917759,0.736340999603,1.51526618004,1.91919946671,0
587726014550704258,0.92823112011,0.951344907284,0.139455705881,0.521899044514,1.99848997593,0.451910227537,0.308240830898,0.274809777303,0.274705767632,0.43792244792,0.731397509575,1.44422912598,1.92869770527,2
587725980154003642,0.953446567059,0.955581665039,0.38506898284,0.533561885357,1.99865269661,0.742259442806,0.341567009687,0.512266460197,0.723843276501,0.739945113659,0.559568345547,1.29918396473,1.92768681049,2
587729653961785704,0.921900868416,0.907391428947,0.300533294678,1.04655206203,1.99928975105,0.500012993813,0.29229965806,0.314232457388,0.767082214355,0.708242356777,0.684136331081,1.56466555595,1.91863584518,2
587736619857215713,0.99206840992,0.96677672863,0.00203576730564,0.450982421637,1.99956166744,0.635702967644,0.570404052734,0.414412097154,0.596734106541,0.997335016727,0.73251080513,1.61082279682,1.91460859776,0
587742012761702544,0.988807499409,0.98811340332,0.213314130902,0.774584889412,1.9996727705,0.583448290825,0.659985363483,0.352782315942,0.504326283932,0.508591592312,0.764948368073,1.66679430008,1.91578435898,0
587736803473424542,0.986578702927,0.980057418346,0.00241066212766,0.273410946131,1.99957478046,1.11534023285,0.882773756981,0.462433880379,0.28058257699,0.292702555656,0.6470079422,1.25740599632,1.93026077747,2
