Id,A3,S3,H,Ga,OGa,C1,C2,CN,sA3,sS3,sH,sGa,sOGa,Error
588017949883695237,0.984833955765,0.991354644299,0.00355157442391,0.144322767854,1.99883472919,0.787478089333,0.814585745335,0.490164491281,0.234293177724,0.312970668077,0.555048823357,0.975304841995,1.95050835609,0
587739381528068256,0.931037545204,0.921319186687,0.00615455769002,0.0324408039451,1.98815333843,0.760430455208,0.510838210583,0.502722038108,0.199903592467,0.234433591366,0.461308956146,0.416524648666,1.98395848274,2
587735343717155081,0.983575284481,0.973106145859,0.00360431568697,0.00190669042058,1.94864869118,0.982460439205,0.687803804874,0.640520409324,0.267179459333,0.351540207863,0.377944737673,0.189066797495,1.97092413902,2
588017947218477217,0.983823955059,0.987236976624,0.0105406595394,0.00442748656496,1.98867499828,0.827444553375,0.4871558249,0.56008535366,0.303785800934,0.346079528332,0.42372739315,0.259025067091,1.99182653427,2
587722984432402584,0.984211981297,0.982955276966,0.00264190207236,0.0594089627266,1.99821949005,0.787391066551,0.516108989716,0.519293565618,0.290556639433,0.31322786212,0.48743724823,0.623907923698,1.97543978691,0
588017626686619768,0.98111051321,0.978918731213,0.0455671176314,0.0191165544093,1.99499821663,0.767694413662,0.467805832624,0.508743738191,0.28699272871,0.283040136099,0.441531330347,0.357742637396,1.99117279053,0
588017605223776377,0.991247236729,0.988689184189,0.00800851732492,0.088927924633,1.99942970276,0.615248382092,0.364957273006,0.414331127957,0.275993078947,0.358308911324,0.530326247215,0.873798966408,1.95116138458,0
588023045863768098,0.986707270145,0.950918793678,0.00806754734367,0.197557345033,1.99634110928,1.04263687134,0.693913340569,0.728696927989,0.288894355297,1.11365044117,0.481495857239,1.03280973434,1.96442508698,2
587737826206679422,0.979198694229,0.984376847744,0.0055897468701,0.0421362370253,1.99692523479,0.712167620659,0.437711209059,0.473773226619,0.264462649822,0.316849023104,0.4640583992,0.468965470791,1.98573625088,0
587736919434461496,0.978170216084,0.967730820179,0.00390962185338,0.0249319951981,1.99167406559,0.690992593765,0.444701582193,0.454535395812,0.159924119711,0.293083965778,0.501851141453,0.544498443604,1.98830771446,0
587733605331763294,0.974268734455,0.983439803123,0.0129990633577,0.00212788186036,1.97257387638,0.757917165756,0.474020779133,0.492038850738,0.233135610819,0.278177291155,0.419331133366,0.207951232791,1.896484375,0
587727225689538702,0.692678689957,0.783777177334,0.327654093504,0.109691523015,1.99195706844,0.807577908039,0.467117518187,0.547880057316,0.264025658369,0.326206952333,0.451202064753,0.374997198582,1.97819459438,2
588017626155122882,0.984138607979,0.978545188904,0.00581094250083,0.0207517724484,1.99524402618,0.740843832493,0.50974047184,0.474405742826,0.204614624381,0.226918533444,0.470509111881,0.479829579592,1.9912135601,0
587735744225542163,0.937380969524,0.946697235107,0.0167410112917,0.0567801780999,1.9925750494,nan,nan,nan,0.236006096005,0.28586384654,0.4769705832,0.502706170082,1.98705279827,1
587739719757398148,0.953133165836,0.968962967396,0.0100790271536,0.00918683968484,1.97787606716,0.786476969719,0.504312157631,0.527318307177,0.247333750129,0.315196603537,0.405870914459,0.232651948929,1.97743785381,2
587726015089869102,0.973316431046,0.973689675331,0.00445463182405,0.0135920466855,1.98772025108,0.800151228905,0.534051001072,0.524815019439,0.220309987664,0.616856336594,0.439709663391,0.357585251331,1.99150836468,0
587742863673262248,0.983745634556,0.99146848917,0.104309029877,0.00644619110972,1.98184967041,0.75624191761,0.467333585024,0.500706636564,0.305988848209,0.338201642036,0.427658289671,0.294273436069,1.99245679379,0
587741709404995630,0.956968724728,0.967493891716,0.0130549129099,0.00326785515063,1.97160243988,0.863653898239,0.615925371647,0.538867676709,0.320368021727,0.390243321657,0.333711534739,0.144279628992,1.90729784966,2
